dependabot[bot],bump-rack-from,rack-from-2,from-2-0
xLightling,added-subtle-shading,subtle-shading-to,shading-to-item
enigio-timebeat,tb-2020-01,2020-01-01,01-01-00
lihkg-boy,update-1805658-json,1805658-json-2020,json-2020-01
apan1121,-auto-add,auto-add-new,add-new-log
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
lihkg-boy,update-1803411-json,1803411-json-2020,json-2020-01
brendanlensink,update-posts-top,posts-top-10,top-10-albums
skennicutt,added-second-test,second-test-blog,test-blog-post
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
m5x,added-linux-surface,linux-surface-patches,surface-patches-for
lihkg-boy,update-1805635-json,1805635-json-2020,json-2020-01
rothso,insert-isqs-and,isqs-and-grades,and-grades-into
dependabot-preview[bot],bump-types-node,types-node-from,node-from-12
Enmotus-Dave-Cohen,merge-pull-request,pull-request-22,request-22-from
AstroWedge,add-exceptions-to,exceptions-to-be,to-be-used
donaldsouza,message-2020-01,2020-01-01t00,01-01t00-48
lihkg-boy,update-1805759-json,1805759-json-2020,json-2020-01
jacob1,fix-wild-child,wild-child-getting,child-getting-notification
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
LeoCode0,cambio-de-nombre,de-nombre-al,nombre-al-archivo
lihkg-boy,update-1805815-json,1805815-json-2020,json-2020-01
nicolas15000,revert-4-payer,4-payer-le,payer-le-moins
yoshi-automation,updated-google-cloud,google-cloud-firestore,cloud-firestore-changelog
jeffkowalski,add-rubocop-yml,rubocop-yml-and,yml-and-address
yoshi-automation,updated-google-cloud,google-cloud-firestore,cloud-firestore-lib
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
lihkg-boy,update-1805565-json,1805565-json-2020,json-2020-01
zepumph,move-jump-alerts,jump-alerts-to,alerts-to-ruler
JoseGarciaE,eliminated-jquery-and,jquery-and-cleaned,and-cleaned-code
MatissJanis,monthly-price-per,price-per-sqm,per-sqm-data
eyedotteecross,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1800630-json,1800630-json-2020,json-2020-01
bczhc,-add-gitignore,add-gitignore-file,gitignore-file-modify
tthings,revert-update-terraria,update-terraria-windows,terraria-windows-md
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
sourceconnect-tests,e2e-test-2020,test-2020-01,2020-01-01t00
Mydesire,1-update-androidsupport,update-androidsupport-add,androidsupport-add-recyclerview
LuisLoureiro,new-content-on,content-on-the,on-the-database
bbertolani,fix-models-merge,models-merge-pull,merge-pull-request
pull[bot],core-windows-wmi,windows-wmi-add,wmi-add-ability
dependabot-preview[bot],bump-types-node,types-node-from,node-from-12
nwtgck,-update-update,update-update-vue,update-vue-cli
skyblockz,automated-database-update,database-update-changes,update-changes-changed
5john,2020-01-01,01-01-00,01-00-48
tcort,a-timeout-for,timeout-for-read,for-read-error
drakata,site-v1-pushing,v1-pushing-onai,pushing-onai-mvp
lihkg-boy,update-1723144-json,1723144-json-2020,json-2020-01
geekwise-korey-nichols,bugfix-changed-max,changed-max-length,max-length-for
Codus1127,like-button-stuff,button-stuff-merged,stuff-merged-merged
zepumph,move-jump-alerts,jump-alerts-to,alerts-to-ruler
ManlyMarco,added-modified-mcs,modified-mcs-that,mcs-that-ignores
mostaphaRoudsari,update-for-the,for-the-latest,the-latest-release
n15g,update-resistance-member,resistance-member-ts,member-ts-64
CarlosCastillo10,comentando-la-linea,la-linea-32,linea-32-de
choo,change-style-of,style-of-color,of-color-preview
lihkg-boy,update-1804712-json,1804712-json-2020,json-2020-01
fate0,wed-jan-1,jan-1-08,1-08-48
skyblockz,auto-alias-database,alias-database-update,database-update-changes
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
davesque,add-parsers-for,parsers-for-type,for-type-descriptions
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
aqi-moscun,update-file-at,file-at-2020,at-2020-01
lihkg-boy,update-1805321-json,1805321-json-2020,json-2020-01
diharaw,vulkan-ray-tracing,ray-tracing-sample,tracing-sample-progress
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
gabobaCS,added-axios-functionality,axios-functionality-added,functionality-added-cors
MCayetano,automatically-backed-up,backed-up-by,up-by-learn
MelbourneDeveloper,rename-a-project,a-project-and,project-and-decouple
renovate[bot],chore-deps-update,deps-update-module,update-module-testcontainers
lihkg-boy,update-1805368-json,1805368-json-2020,json-2020-01
davidoc85,updated-bricklet-ir,bricklet-ir-v2,ir-v2-0
ejelome,replace-theme-with,theme-with-homepage,with-homepage-added
bitnami-bot,alertmanager-component-image,component-image-updated,image-updated-to
ran-dall,update-yate-from,yate-from-5,from-5-0
ccbogel,working-on-manual,on-manual-transcription,manual-transcription-functionality
albrow,attempt-to-fix,to-fix-ci,fix-ci-config
pull[bot],-ci-skip,ci-skip-create,skip-create-nightly
lihkg-boy,update-1805378-json,1805378-json-2020,json-2020-01
davesque,add-parsers-for,parsers-for-type,for-type-descriptions
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
bitnami-bot,cert-manager-component,manager-component-image,component-image-updated
lihkg-boy,update-1805707-json,1805707-json-2020,json-2020-01
TokaMohsen,connect-add-asset,add-asset-with,asset-with-home
alloy,-definition-parser,definition-parser-support,parser-support-minor
bitnami-bot,elasticsearch-component-image,component-image-updated,image-updated-to
OPSTestProduction,create-a-file,a-file-xref,file-xref-prod
ejelome,replace-theme-with,theme-with-homepage,with-homepage-added
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
Propeus,merged-pr-58,pr-58-adicionado,58-adicionado-pasta
kalicki2k,bump-silverstripe-framework,silverstripe-framework-from,framework-from-4
lihkg-boy,update-1803226-json,1803226-json-2020,json-2020-01
bitnami-bot,external-dns-component,dns-component-image,component-image-updated
Enmotus-Dave-Cohen,-merge-branch,merge-branch-master,branch-master-of
xqrzd,update-test-net,test-net-core,net-core-runtime
rhaynes3k,automatically-backed-up,backed-up-by,up-by-learn
nicolas15000,2-maximizer-le,maximizer-le-profit,le-profit-pour
46bit,build-docker-containers,docker-containers-in,containers-in-concourse
lihkg-boy,update-1805371-json,1805371-json-2020,json-2020-01
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
allinoneapps,cron-update-1,update-1-1,1-1-20
bitnami-bot,fluentd-component-image,component-image-updated,image-updated-to
fabiomigliorini,-upd-modelo,upd-modelo-er,modelo-er-conforme
Nora-Wang,update-summary-of,summary-of-data,of-data-types
yanonono,updated-at-2020,at-2020-01,2020-01-01
lihkg-boy,update-1805119-json,1805119-json-2020,json-2020-01
bitnami-bot,grafana-component-image,component-image-updated,image-updated-to
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
CheeseInTheDark,gun-power-is,power-is-no,is-no-adjustable
workout-contribution,updated-format2-0,format2-0-2,0-2-0
DanielBrito,thread-da-remo,da-remo-o,remo-o-do
b946c5a0bf547c89,site-updated-2020,updated-2020-01,2020-01-01
LakshBhambhani,basic-setup-but,setup-but-switching,but-switching-to
jstac,python-by-example,by-example-issue3,example-issue3-844
lihkg-boy,update-1724456-json,1724456-json-2020,json-2020-01
github-actions[bot],autogenerated-site-via,site-via-github,via-github-actions
FlyOrBoom,long-race-branch,race-branch-start,branch-start-screen
BenJetson,create-systemd-power,systemd-power-manager,power-manager-return
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
Oquendooo,adding-blog-a,blog-a-tag,a-tag-to
bnebeker,ref-add-provider,add-provider-data,provider-data-serialize
hfaerber,add-maptoproptests-for,maptoproptests-for-loginform,for-loginform-add
bitnami-bot,prometheus-component-image,component-image-updated,image-updated-to
lihkg-boy,update-1802828-json,1802828-json-2020,json-2020-01
Abdeeson,automatically-backed-up,backed-up-by,up-by-learn
zhangwenjie-tina,update-omnibrowser-local,omnibrowser-local-deployment,local-deployment-manual
RameshNikhil,changed-custom-shape,custom-shape-to,shape-to-btn
gecko-dev-updater,bug-409974-addresses,409974-addresses-in,addresses-in-autocomplete
cocahack,feat-2019-12,2019-12-31,12-31-ps
lihkg-boy,update-1801342-json,1801342-json-2020,json-2020-01
confusdcodr,add-kms-encryption,kms-encryption-bumps,encryption-bumps-version
gecko-dev-updater,bug-409974-addresses,409974-addresses-in,addresses-in-autocomplete
AJInddev,-ranveer-tracker,ranveer-tracker-updates,tracker-updates-2020
systemovich,chore-create-blog,create-blog-skeleton,blog-skeleton-with
bspain,text-styling-prev,styling-prev-next,prev-next-buttons
ixqifeba,adding-install-file,install-file-adding,file-adding-new
jonahjon,auto-release-164382793440,release-164382793440-dkr,164382793440-dkr-ecr
gfodor,added-hubs-cloud,hubs-cloud-look,cloud-look-and
melanie467,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1805032-json,1805032-json-2020,json-2020-01
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
Abdeeson,automatically-backed-up,backed-up-by,up-by-learn
HappyTreeBeard,update-file-name,file-name-convention,name-convention-use
lhao03,font-changes-merge,changes-merge-branch,merge-branch-somefontchanges
ttsubo,testcase-for-5,for-5-5,5-5-10
Conatrad,updated-readme-md,readme-md-to,md-to-include
mcatanzariti,full-support-for,support-for-datamemberattribute,for-datamemberattribute-and
bcraig2612,updated-the-course,the-course-folder,course-folder-structure
wigforss,-maven-release,maven-release-plugin,release-plugin-prepare
lihkg-boy,update-1801563-json,1801563-json-2020,json-2020-01
lihkg-boy,update-1805819-json,1805819-json-2020,json-2020-01
FajsiEx,-tag-displaying,tag-displaying-to,displaying-to-prop
compnerd,windows-move-swift,move-swift-options,swift-options-upto
funilrys,-autosave-testing,autosave-testing-for,testing-for-ultimate
kalicki2k,bump-symfony-cache,symfony-cache-from,cache-from-3
mlevatich,read-lighting-data,lighting-data-from,data-from-file
cjxd-bot-test,publishing-files-for,files-for-path,for-path-jenkins
rhaynes3k,automatically-backed-up,backed-up-by,up-by-learn
OPSTestProduction,create-a-file,a-file-e2e,file-e2e-docsbranch
wigforss,-maven-release,maven-release-plugin,release-plugin-prepare
lihkg-boy,update-1805715-json,1805715-json-2020,json-2020-01
usernane,update-codesnippet-php,codesnippet-php-update,php-update-classuploaderview
pull[bot],chore-release-2,release-2-4,2-4-0
freearhey,update-gr-m3u,gr-m3u-updated,m3u-updated-channel
bryantomoregie,automatically-backed-up,backed-up-by,up-by-learn
mjbradvica,moved-data-access,data-access-fixed,access-fixed-products
mransan,add-bs-ocaml,bs-ocaml-protoc,ocaml-protoc-json
andrestor2,clase-117-ajuste,117-ajuste-a,ajuste-a-nuevo
pull[bot],bael-19890-upgrade,19890-upgrade-to,upgrade-to-spring
kailanak1,automatically-backed-up,backed-up-by,up-by-learn
jloughry,quantum-teleporation-on,teleporation-on-chip,on-chip-in
mhkeller,update-domains-add,domains-add-webgl,add-webgl-layout
joshith,enhancement-to-honor,to-honor-strategies,honor-strategies-to
OPSTestProduction,e2e-pr-success,pr-success-test01,success-test01-01
lihkg-boy,update-1805749-json,1805749-json-2020,json-2020-01
donaldsouza,message-2020-01,2020-01-01t00,01-01t00-49
grdud,-adding-a,adding-a-change,a-change-to
BoboTiG,fix-link-to,link-to-requests,to-requests-threads
adit313,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1804676-json,1804676-json-2020,json-2020-01
adammohammed,add-npm-md,npm-md-spell,md-spell-checker
lihkg-boy,update-1805820-json,1805820-json-2020,json-2020-01
beefsack,added-2020-01,2020-01-01,01-01-csv
ChaimSh,automatically-backed-up,backed-up-by,up-by-learn
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
vineet-sinha,grammar-fix-polish,fix-polish-better,polish-better-naming
lihkg-boy,update-1805821-json,1805821-json-2020,json-2020-01
EveningShade,-2-0,2-0-merge,0-merge-remote
aisflat439,bump-handlebars-from,handlebars-from-4,from-4-1
DFortun81,fixed-some-bugs,some-bugs-with,bugs-with-the
colinking,remove-dependency-on,dependency-on-aws,on-aws-dockerhub
JumHorn,reconstruct-a-2,a-2-row,2-row-binary
plfiorini,fix-typo-merge,typo-merge-branch,merge-branch-develop
takuya-takeuchi,feat-shufflenetv2-merge,shufflenetv2-merge-branch,merge-branch-feature
sqeven,synchronizing-completion-at,completion-at-2020,at-2020-01
OmarDarioMelendrez,agregando-imagenes-para,imagenes-para-la,para-la-pagina
solarfluxx,other-1-1,1-1-added,1-added-remove
VoiceSC,more-changes-revision,changes-revision-3,revision-3-merge
lihkg-boy,update-1804531-json,1804531-json-2020,json-2020-01
cjxd-bot-test,publishing-files-for,files-for-path,for-path-jenkins
wingtorres,update-paper-figures,paper-figures-merge,figures-merge-https
elijahc,added-box-index,box-index-and,index-and-started
MarcelWaldvogel,newly-timestamped-commits,timestamped-commits-up,commits-up-to
MarcelWaldvogel,newly-timestamped-commits,timestamped-commits-up,commits-up-to
jbielick,bump-docker-image,docker-image-to,image-to-2
5john,2020-01-01,01-01-00,01-00-49
HomoEfficio,update-git-commit,git-commit-author,commit-author-md
renovate[bot],update-module-google,module-google-go,google-go-github
mathigatti,testing-algorithm-modifications,algorithm-modifications-and,modifications-and-adding
MatoPlus,automatically-backed-up,backed-up-by,up-by-learn
willdickson,worked-on-read,on-read-write,read-write-methods
lihkg-boy,update-1805655-json,1805655-json-2020,json-2020-01
eyedotteecross,automatically-backed-up,backed-up-by,up-by-learn
bitnami-bot,external-dns-component,dns-component-image,component-image-updated
andyblackwell,2020-01-01,01-01-12,01-12-49
huanminwu,create-exercise-sln,exercise-sln-create,sln-create-leetcode
lihkg-boy,update-1805784-json,1805784-json-2020,json-2020-01
mhandipranata,the-analysis-result,analysis-result-images,result-images-have
oesteban,apply-suggestions-from,suggestions-from-code,from-code-review
doctor4t,add-page-amount,page-amount-tooltips,amount-tooltips-for
lihkg-boy,update-1491823-json,1491823-json-2020,json-2020-01
umgi,allow-transmission-and,transmission-and-kodi,and-kodi-ports
aqi-moscun,update-file-at,file-at-2020,at-2020-01
rhaynes3k,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1805744-json,1805744-json-2020,json-2020-01
matthew46,updated-gps-added,gps-added-latitude,added-latitude-parsing
jxs,fix-typo-in,typo-in-dir,in-dir-names
rejonpardenilla,refactor-poll-components,poll-components-refactor,components-refactor-to
mianos,don-t-abuse,t-abuse-the,abuse-the-server
bryantomoregie,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1757719-json,1757719-json-2020,json-2020-01
tcreech,net-dpdk-depend,dpdk-depend-on,depend-on-openssl
cmsbuild,update-data-2020,data-2020-01,2020-01-01
miretskiy,importccl-improve-handling,improve-handling-of,handling-of-transient
pull[bot],bael-19890-upgrade,19890-upgrade-to,upgrade-to-spring
ropenscibot,registry-json-and,json-and-raw,and-raw-cm
EvilArtist,ignore-vscode-setting,vscode-setting-folder,setting-folder-add
edsilv,use-enums-for,enums-for-events,for-events-states
geotrev,add-scripts-and,scripts-and-custom,and-custom-rollup
renovate[bot],update-dependency-aws,dependency-aws-sdk,aws-sdk-to
lihkg-boy,update-1804208-json,1804208-json-2020,json-2020-01
bvillasen,updated-makefile-lux,makefile-lux-for,lux-for-particles
Shougo,sources-run-black,run-black-merge,black-merge-pull
joshuaadampoirier,add-vs-code,vs-code-settings,code-settings-to
lihkg-boy,update-1805799-json,1805799-json-2020,json-2020-01
mcrossen,bumped-gem-version,gem-version-to,version-to-0
cgschu1tz,plugins-were-a,were-a-giant,a-giant-waste
BhushanVasisht,hashing-2-problem3,2-problem3-hashing,problem3-hashing-2
xjx3316,set-theme-jekyll,theme-jekyll-theme,jekyll-theme-cayman
freearhey,added-star-alpha,star-alpha-tv,alpha-tv-streams
deepscanbot,add-domains-for,domains-for-all,for-all-sites
mr-fufu,started-work-on,work-on-tiles,on-tiles-implemented
lihkg-boy,update-1803844-json,1803844-json-2020,json-2020-01
AspDev34,fixed-undefined-objects,undefined-objects-and,objects-and-the
tikurahul,add-a-converter,a-converter-from,converter-from-the
bryantomoregie,automatically-backed-up,backed-up-by,up-by-learn
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
psathyrella,forecasts-pushed-on,pushed-on-tue,on-tue-dec
gmr,remove-the-aiorabbit,the-aiorabbit-channel,aiorabbit-channel-py
milenaonmaui,use-redirect-for,redirect-for-incorrect,for-incorrect-meal
github-actions[bot],add-configuratons-for,configuratons-for-v1,for-v1-machines
V-ACODER,site-updated-2020,updated-2020-01,2020-01-01
b946c5a0bf547c89,site-updated-2020,updated-2020-01,2020-01-01
lihkg-boy,update-1805769-json,1805769-json-2020,json-2020-01
bryantomoregie,automatically-backed-up,backed-up-by,up-by-learn
geos4s,add-sgroup07-metar,sgroup07-metar-edhi,metar-edhi-csv
jeremyschlatter,playground-add-appengine,add-appengine-healthcheck,appengine-healthcheck-endpoint
locol23,chore-deps-update,deps-update-dependency,update-dependency-typescript
deanrexines,refine-unet-decaying,unet-decaying-lr,decaying-lr-scripts
lihkg-boy,update-1801616-json,1801616-json-2020,json-2020-01
gabesharpton,good-responsive-for,responsive-for-larger,for-larger-screens
jlp0422,chroe-remove-dist,remove-dist-chore,dist-chore-add
reynaldoeg,2019-12-31,12-31-18,31-18-50
joenoon,updated-at-2020,at-2020-01,2020-01-01t00
jazeee,add-residuals-prop,residuals-prop-upgrade,prop-upgrade-babel
lihkg-boy,update-1798431-json,1798431-json-2020,json-2020-01
cjxd-bot-test,chore-deps-bump,deps-bump-https,bump-https-github
jpmattern,added-linear-regression,linear-regression-py,regression-py-ipynb
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
johnleider,feat-add-material,add-material-presets,material-presets-143
web-media,revert-get-single,get-single-route,single-route-this
why2lyj,auto-commit-2020,commit-2020-01,2020-01-01
lihkg-boy,update-1804351-json,1804351-json-2020,json-2020-01
MlgmXyysd,mlgmxyysd-github-update,github-update-bot,update-bot-1577839807
zprogrammer-code,automatically-backed-up,backed-up-by,up-by-learn
ericberman,svn-6899-allow,6899-allow-for,allow-for-null
trimstray,add-bed-signed,bed-signed-off,signed-off-by
xiongbingji,1-merge-branch,merge-branch-master,branch-master-of
MatoPlus,automatically-backed-up,backed-up-by,up-by-learn
p-adic,update-and-rename,and-rename-0000,rename-0000-00
pietroalbini,updating-crate-anomaly,crate-anomaly-0,anomaly-0-1
Tearff,build-and-compile,and-compile-currently,compile-currently-nonsensical
lihkg-boy,update-1805687-json,1805687-json-2020,json-2020-01
photosbyjeremy,new-capture-directory,capture-directory-can,directory-can-create
tph,changed-pseg-arr,pseg-arr-to,arr-to-sap
Saurabh722,introduce-client-updated,client-updated-auth,updated-auth-ui
tony-iqlusion,anomaly-v0-1,v0-1-0,1-0-merge
lihkg-boy,update-1805812-json,1805812-json-2020,json-2020-01
Jose24San,updated-the-way,the-way-history,way-history-tab
donaldsouza,message-2020-01,2020-01-01t00,01-01t00-50
renovate[bot],update-dependency-org,dependency-org-apache,org-apache-maven
MatoPlus,automatically-backed-up,backed-up-by,up-by-learn
UnKnoWn-Consortium,added-1-1,1-1-2020,1-2020-08
lihkg-boy,update-1805598-json,1805598-json-2020,json-2020-01
tmaul,small-tweak-to,tweak-to-enable,to-enable-software
renovate[bot],chore-deps-update,deps-update-node,update-node-js
bitnami-bot,external-dns-component,dns-component-image,component-image-updated
poshea48,checking-if-parallax,if-parallax-fixed,parallax-fixed-on
A-ee,i-m-sorry,m-sorry-but,sorry-but-input
wigforss,-maven-release,maven-release-plugin,release-plugin-prepare
Nintendroid1,assigned-values-to,values-to-fields,to-fields-in
mamohamed2,update-eaybl-stats,eaybl-stats-html,stats-html-update
AYMafaza,optimizing-query-refactor,query-refactor-add,refactor-add-eslint
samsergey,started-renaming-for,renaming-for-figures,for-figures-code
wpears,set-print-styles,print-styles-to,styles-to-full
lihkg-boy,update-1805822-json,1805822-json-2020,json-2020-01
calebroseland,upgrade-ts-3,ts-3-7,3-7-4
edoapra,restrict-np-for,np-for-some,for-some-qas
kiang,auto-update-2020,update-2020-01,2020-01-01
orange451,potentially-sped-up,sped-up-parent,up-parent-changing
jdizz,update-readme-md,readme-md-image,md-image-size
allbombson,rename-resources-views,resources-views-index,views-index-html
AZaruba,jumping-implementation-has,implementation-has-begun,has-begun-this
localheinz,fix-path-merge,path-merge-pull,merge-pull-request
OPSTestProduction,delete-file-xref,file-xref-prod,xref-prod-xrefmap
geos4s,add-sgroup07-metar,sgroup07-metar-eddn,metar-eddn-csv
renovate[bot],update-dependency-org,dependency-org-apache,org-apache-maven
cgCodeLife,create-note-md,note-md-change,md-change-id
dependabot-preview[bot],-update-update,update-update-vue,update-vue-cli
jton307,set-up-session,up-session-flash,session-flash-message
MatissJanis,monthly-data-land,data-land-sell,land-sell-riga
centminmod,add-optional-feature,optional-feature-policy,feature-policy-header
newstools,created-text-for,text-for-url,for-url-www
wigforss,-maven-release,maven-release-plugin,release-plugin-prepare
xmil9,stretch-octave-noise,octave-noise-range,noise-range-because
lihkg-boy,update-1805699-json,1805699-json-2020,json-2020-01
newstools,created-text-for,text-for-url,for-url-newsverge
tumhopaasmere,gas-commit-12,commit-12-31,12-31-2019
lihkg-boy,update-1805735-json,1805735-json-2020,json-2020-01
newstools,created-text-for,text-for-url,for-url-www
Aaidenplays,automatically-backed-up,backed-up-by,up-by-learn
jschomay,now-setlink-can,setlink-can-lookup,can-lookup-a
p-adic,update-0000-00,0000-00-00,00-00-kyodaisuutan
raulovallet,-fix-expected,fix-expected-indentation,expected-indentation-of
gahgsp,added-thrust-sound,thrust-sound-effect,sound-effect-and
renovate[bot],update-babel-monorepo,babel-monorepo-to,monorepo-to-7
ChaimSh,automatically-backed-up,backed-up-by,up-by-learn
lihkg-boy,update-1805682-json,1805682-json-2020,json-2020-01
tommy605,gas-commit-12,commit-12-31,12-31-2019
newstools,created-text-for,text-for-url,for-url-naijanewsagency
RohitGarudadri,fixed-login-button,login-button-flashing,button-flashing-780
newstools,created-text-for,text-for-url,for-url-www
5john,2020-01-01,01-01-00,01-00-50
geos4s,add-sgroup07-metar,sgroup07-metar-eddp,metar-eddp-csv
sangchi,update-rename-scripted,rename-scripted-effects,scripted-effects-txt
newstools,created-text-for,text-for-url,for-url-naijanewsagency
psathyrella,add-4km-and,4km-and-12km,and-12km-snow
homebysix,fixxed-preinstall-script,preinstall-script-merge,script-merge-pull
brl0,correct-order-of,order-of-dependencies,of-dependencies-for
melanie467,automatically-backed-up,backed-up-by,up-by-learn
JWulf7,am-able-to,able-to-populate,to-populate-employee
praharpatel,updated-readme-with,readme-with-sample,with-sample-terminal
newstools,created-text-for,text-for-url,for-url-naijanewsagency
rentry,bump-handlebars-from,handlebars-from-4,from-4-1
newstools,created-text-for,text-for-url,for-url-newsverge
rickneff,rename-files-for,files-for-w20,for-w20-semester
ldez,closenotifier-return-pointer,return-pointer-instead,pointer-instead-of
newstools,created-text-for,text-for-url,for-url-naijanewsagency
p-adic,update-0000-00,0000-00-00,00-00-waheyhey
astrosaeed,able-to-find,to-find-obj,find-obj-but
geos4s,add-sgroup07-metar,sgroup07-metar-eddt,metar-eddt-csv
newstools,created-text-for,text-for-url,for-url-newsverge
deathvango,add-buttons-to,buttons-to-send,to-send-random
AndresZourelli,added-travis-and,travis-and-added,and-added-encrypted
luizgustavoob,ajustar-consultas-jpql,consultas-jpql-paginadas,jpql-paginadas-e
ChaimSh,automatically-backed-up,backed-up-by,up-by-learn
newstools,created-text-for,text-for-url,for-url-www
renovate[bot],update-dependency-aws,dependency-aws-sdk,aws-sdk-to
gioryanreyes,added-mobile-padding,mobile-padding-for,padding-for-better
ChaimSh,automatically-backed-up,backed-up-by,up-by-learn
aqi-moscun,update-file-at,file-at-2020,at-2020-01
infamousjoeg,fix-83-split,83-split-domain,split-domain-local
GAierken,added-museum-id,museum-id-user,id-user-id
OmarDarioMelendrez,ahora-si-subo,si-subo-las,subo-las-imagenes
dependabot[bot],optimizing-query-refactor,query-refactor-add,refactor-add-eslint
geekwise-deidra-wallert,update-still-working,still-working-on,working-on-getting
Vemahk,menu-rework-menus,rework-menus-are,menus-are-now
pull[bot],add-a-2019,a-2019-year,2019-year-in
OPSTestProduction,delete-file-e2e,file-e2e-docsbranch,e2e-docsbranch-prod
timcharper,update-integration-test,integration-test-to,test-to-use
hrsh38,initial-commit-added,commit-added-index,added-index-html
HectorRicardo,adding-more-fields,more-fields-to,fields-to-package
geos4s,add-sgroup07-metar,sgroup07-metar-edds,metar-edds-csv
zhouqiang-cl,update-community-section,community-section-and,section-and-other
abalabahaha,create-tostring-functions,tostring-functions-for,functions-for-remaining
sahsah1,added-user-controller,user-controller-dao,controller-dao-and
mbj,add-unparser-ast,unparser-ast-localvariablescope,ast-localvariablescope-mutant
sangchi,revert-update-rename,update-rename-scripted,rename-scripted-effects
loreina,fixed-login-button,login-button-flashing,button-flashing-780
deathvango,add-buttons-to,buttons-to-send,to-send-random
newstools,created-text-for,text-for-url,for-url-naijanewsagency
nathan-alden-sr,fixed-contextflag-bug,contextflag-bug-in,bug-in-dispose
newstools,created-text-for,text-for-url,for-url-newsverge
Benny121221,config-file-for,file-for-api,for-api-key
bradsherman,add-real-suggestion,real-suggestion-to,suggestion-to-option
hehaowen00,run-slider-fill,slider-fill-only,fill-only-on
clairedavies,update-info-for,info-for-sti,for-sti-using
bharathwaj-sankara,controller-scheduler-kubelet,scheduler-kubelet-and,kubelet-and-proxy
schoinh,move-blog-post,blog-post-alert,post-alert-to
newstools,created-text-for,text-for-url,for-url-www
newstools,created-text-for,text-for-url,for-url-naijanewsagency
haitdhn,removed-files-managed,files-managed-by,managed-by-codegen
postgresql-cfbot,modernize-python-exception,python-exception-syntax,exception-syntax-in
newstools,created-text-for,text-for-url,for-url-newsverge
CrazyJ36,toshiba-rename-install,rename-install-list,install-list-toshiba
kailanak1,automatically-backed-up,backed-up-by,up-by-learn
cdmihai,log-global-properties,global-properties-in,properties-in-cache
newstools,created-text-for,text-for-url,for-url-www
newstools,created-text-for,text-for-url,for-url-naijanewsagency
newstools,created-text-for,text-for-url,for-url-newsverge
racarr01,last-update-19,update-19-51,19-51-on
newstools,created-text-for,text-for-url,for-url-naijanewsagency
newstools,created-text-for,text-for-url,for-url-newsverge
sildur,add-required-option,required-option-in,option-in-mod
MatoPlus,automatically-backed-up,backed-up-by,up-by-learn
Nora-Wang,update-and-rename,and-rename-summary,rename-summary-of
haibchen,miscallenous-minor-updates,minor-updates-since,updates-since-the
github-actions[bot],gh-actions-updated,actions-updated-website,updated-website-data
cgCodeLife,create-note-md,note-md-change,md-change-id
LoCodes,automatically-backed-up,backed-up-by,up-by-learn
lamaks,report-test-runs,test-runs-in,runs-in-health
Harshith0307,program-to-reverse,to-reverse-an,reverse-an-array
Tegon-McCloud,cleanup-of-chess,of-chess-class,chess-class-and
OllyButters,test-status-update,status-update-for,update-for-dsbaseclient
Vemahk,menu-update-updated,update-updated-to,updated-to-match
resthiana12,menambahkan-nilai-default,nilai-default-untuk,default-untuk-field
mattdeitke,fix-brokenpipeerror-caused,brokenpipeerror-caused-by,caused-by-ffmpeg
ka9cql,txlog-changed-node,changed-node-detection,node-detection-threshold
jdizz,update-readme-md,readme-md-image,md-image-size
fukuchi,added-resource-template,resource-template-column,template-column-and
csamak,add-local-bin,local-bin-to,bin-to-path
brentsimmons,write-two-posts,two-posts-one,posts-one-for
newstools,created-text-for,text-for-url,for-url-www
wbrunette,added-section-on,section-on-setting,on-setting-up
donaldsouza,message-2020-01,2020-01-01t00,01-01t00-51
JakeMartin99,my-project-python,project-python-file,python-file-this
MCayetano,automatically-backed-up,backed-up-by,up-by-learn
newstools,created-text-for,text-for-url,for-url-www
johnleider,feat-add-material,add-material-presets,material-presets-143
dzackgarza,-class-notes,class-notes-2019,notes-2019-analysis
ahoerr2,added-poster-images,poster-images-to,images-to-profiles
newstools,created-text-for,text-for-url,for-url-naijanewsagency
